Tanggal,Harga_Beras,Inflasi,Prediksi
27/11/2022,11600,0.0542,
28/11/2022,11600,0.0542,
29/11/2022,11600,0.0542,
30/11/2022,11600,0.0542,
01/12/2022,11600,0.0551,
02/12/2022,11600,0.0551,
03/12/2022,11600,0.0551,
04/12/2022,11600,0.0551,
05/12/2022,11650,0.0551,
06/12/2022,11700,0.0551,
07/12/2022,11700,0.0551,
08/12/2022,11750,0.0551,
09/12/2022,11750,0.0551,
10/12/2022,11750,0.0551,
11/12/2022,11750,0.0551,
12/12/2022,11750,0.0551,
13/12/2022,11750,0.0551,
14/12/2022,11750,0.0551,
15/12/2022,11750,0.0551,
16/12/2022,11750,0.0551,
17/12/2022,11750,0.0551,
18/12/2022,11750,0.0551,
19/12/2022,11750,0.0551,
20/12/2022,11750,0.0551,
21/12/2022,11800,0.0551,
22/12/2022,11800,0.0551,
23/12/2022,11800,0.0551,
24/12/2022,11800,0.0551,
25/12/2022,11800,0.0551,
26/12/2022,11800,0.0551,
27/12/2022,11800,0.0551,
28/12/2022,11800,0.0551,
29/12/2022,11800,0.0551,
30/12/2022,11800,0.0551,
31/12/2022,11800,0.0551,
01/01/2023,11800,0.0528,
02/01/2023,11800,0.0528,
03/01/2023,11800,0.0528,
04/01/2023,11800,0.0528,
05/01/2023,11800,0.0528,
06/01/2023,11850,0.0528,
07/01/2023,11850,0.0528,
08/01/2023,11850,0.0528,
09/01/2023,11850,0.0528,
10/01/2023,11850,0.0528,
11/01/2023,11900,0.0528,
12/01/2023,11900,0.0528,
13/01/2023,11900,0.0528,
14/01/2023,11900,0.0528,
15/01/2023,11900,0.0528,
16/01/2023,11900,0.0528,
17/01/2023,11950,0.0528,
18/01/2023,11950,0.0528,
19/01/2023,11950,0.0528,
20/01/2023,11950,0.0528,
21/01/2023,11950,0.0528,
22/01/2023,11950,0.0528,
23/01/2023,11950,0.0528,
24/01/2023,12050,0.0528,
25/01/2023,12050,0.0528,
26/01/2023,12050,0.0528,
27/01/2023,12100,0.0528,
28/01/2023,12100,0.0528,
29/01/2023,12100,0.0528,
30/01/2023,12150,0.0528,
31/01/2023,12150,0.0528,
01/02/2023,12150,0.0547,
02/02/2023,12150,0.0547,
03/02/2023,12150,0.0547,
04/02/2023,12150,0.0547,
05/02/2023,12150,0.0547,
06/02/2023,12300,0.0547,
07/02/2023,12350,0.0547,
08/02/2023,12350,0.0547,
09/02/2023,12400,0.0547,
10/02/2023,12400,0.0547,
11/02/2023,12400,0.0547,
12/02/2023,12400,0.0547,
13/02/2023,12450,0.0547,
14/02/2023,12450,0.0547,
15/02/2023,12500,0.0547,
16/02/2023,12500,0.0547,
17/02/2023,12500,0.0547,
18/02/2023,12500,0.0547,
